sample_id,gtseq_chr28_geno,pop_structure_id,cv_fall,cv_late_fall,cv_spring,cv_winter,tributary,butte_fall,fr_hfall,fr_hsp,mill_deer_fall,san_joaquin_fall,butte_sp,mill_deer_sp,coleman_lf,sac_win,reason_not_added
F6123_9_A_84b,LATE,FALL,1,0,0,0,NA,0.007,0.419,0.007,0.161,0.406,0,0,0,0,NONSTANDARD SAMPLE ID
MIL23_11_E_A,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0.005,0,0,0,0.005,0.99,0,0,NONSTANDARD SAMPLE ID
MIL23_3_XTRA_1,EARLY,SPRING,0.14,0,0.86,0,MillDeerSp,0.001,0.134,0.001,0,0,0.055,0.809,0,0,NONSTANDARD SAMPLE ID
MIL23_3_XTRA_2,EARLY,SPRING,0.64,0,0.36,0,Feather River Spring,0.001,0.638,0.002,0.002,0,0,0.357,0,0,NONSTANDARD SAMPLE ID
MIL23_3_XTRA_3,EARLY,SPRING,0,0,1,0,ButteSp,0,0,0,0,0,1,0,0,0,NONSTANDARD SAMPLE ID
MIL23_4_XTRA_1,EARLY,SPRING,0.01,0,0.99,0,MillDeerSp,0,0.005,0,0,0,0.002,0.993,0,0,NONSTANDARD SAMPLE ID
MIL23_7_A_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
MIL23_8_A_1,EARLY,NA,NA,NA,NA,NA,ButteSp,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
Mill_Non_Event_01,EARLY,SPRING,0.2,0,0.8,0,ButteSp,0.002,0.006,0.004,0.002,0.183,0.796,0.006,0.001,0,NONSTANDARD SAMPLE ID
Mill_Non_Event_02,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0,0,0,0,0,1,0,0,NONSTANDARD SAMPLE ID
Mill_Non_Event_03,EARLY,SPRING,0,0,1,0,MillDeerSp,0.001,0.002,0,0,0,0.114,0.883,0,0,NONSTANDARD SAMPLE ID
Mill_Non_Event_04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
Mill_Non_Event_0425,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0,0,0,0,0,1,0,0,NONSTANDARD SAMPLE ID
Mill_Non_Event_05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
Mill_Non_Event_0514,EARLY,SPRING,0,0,1,0,MillDeerSp,0,0,0,0,0,0,1,0,0,NONSTANDARD SAMPLE ID
TIS23_10_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
YUR23_13_A_6a,LATE,FALL,1,0,0,0,NA,0,0,0,0.008,0.991,0,0,0,0,NONSTANDARD SAMPLE ID
YUR23_13_A_6b,LATE,FALL,1,0,0,0,NA,0,0,0,0.007,0.993,0,0,0,0,NONSTANDARD SAMPLE ID
YUR23_13_A_6c,LATE,FALL,1,0,0,0,NA,0,0.001,0,0.017,0.982,0,0,0,0,NONSTANDARD SAMPLE ID
YUR23_2_A_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
YUR23_8_A_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
YUR23_9_A_14a,LATE,FALL,1,0,0,0,NA,0.004,0.057,0,0.461,0.478,0,0,0,0,NONSTANDARD SAMPLE ID
