SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
BTC24_10_A_1																
BTC24_10_A_2	LATE	FALL	1	0	0	0		0.011	0.988	0	0.001	0	0	0	0	0
BTC24_10_A_3	LATE	FALL	1	0	0	0		0.058	0.14	0	0.168	0.634	0	0	0	0
BTC24_10_A_4																
BTC24_10_A_5	LATE	FALL	1	0	0	0		0.007	0.916	0.001	0.065	0.01	0	0	0	0
BTC24_10_C_1																
BTC24_11_A_1	LATE	FALL	1	0	0	0		0.038	0.93	0.001	0.03	0	0	0	0	0
BTC24_11_C_1	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC24_11_C_2	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC24_11_C_3	HETEROZYGOTE	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC24_12_A_1	LATE	FALL	1	0	0	0		0	0.849	0	0.057	0.094	0	0	0	0
BTC24_13_A_1	LATE	FALL	1	0	0	0		0	0.99	0	0.008	0.001	0	0	0.001	0
BTC24_13_C_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0.055	0.932	0	0.005	0.007	0.001	0	0	0
BTC24_13_C_10	EARLY	SPRING	0.98	0	0.02	0	Feather River Spring	0.81	0.099	0.012	0.002	0.057	0	0.017	0.002	0
BTC24_13_C_2	EARLY	SPRING	0.01	0	0.99	0	MillDeerSp	0.008	0.001	0.003	0	0	0	0.988	0	0
BTC24_13_C_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.015	0.972	0.001	0.004	0.004	0	0	0.003	0
BTC24_13_C_4	EARLY	SPRING	0.99	0	0.01	0	Feather River Spring	0	0.965	0.028	0	0	0	0.006	0	0
