SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
BTC_1_A_1	EARLY	SPRING	0.96	0.04	0	0	Feather River Spring	0.284	0.486	0.006	0.128	0.06	0	0	0.036	0
BTC_1_A_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.891	0.034	0	0.075	0	0	0	0
BTC_1_A_3	EARLY	SPRING	0.99	0.01	0	0	Feather River Spring	0.008	0.225	0.157	0.008	0.597	0	0	0.006	0
BTC_2_A_1	EARLY	SPRING	0.02	0	0.98	0	ButteSp	0	0.016	0.002	0	0	0.704	0.278	0	0
BTC_2_A_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.996	0.004	0	0	0	0	0	0
BTC_2_A_3	EARLY	SPRING	0.86	0	0.14	0	Feather River Spring	0.011	0.847	0.001	0	0	0.141	0	0	0
BTC_3_A_1	EARLY	SPRING	0.74	0	0.26	0	Feather River Spring	0.001	0.267	0.476	0	0	0.219	0.037	0	0
BTC_3_A_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0.001	0	0	0	0.999	0	0	0
BTC_4_B_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.044	0.953	0	0.002	0	0	0	0
BTC_4_B_2	EARLY	SPRING	0.99	0	0.01	0	Feather River Spring	0	0.984	0.001	0.004	0.001	0.009	0	0	0
BTC_4_B_3	EARLY	SPRING	0.24	0	0.76	0	ButteSp	0.041	0.145	0.05	0	0	0.763	0	0	0
BTC_6_B_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0.001	0.034	0.954	0.008	0.003	0	0	0	0
BTC_6_B_2	EARLY	SPRING	0.03	0	0.97	0	ButteSp	0	0.013	0.017	0	0	0.969	0.002	0	0
BTC_6_C_1		FALL	0.94	0.05	0.01	0		0.07	0.143	0.04	0.323	0.368	0.01	0	0.046	0
BTC_7_A_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BTC_7_B_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BTC_7_B_2																
BTC_7_B_3	LATE	FALL	0.98	0.02	0	0		0	0.899	0	0.084	0.001	0	0	0.015	0
BTC_7_B_4	EARLY	SPRING	0.57	0.01	0.42	0	Feather River Spring	0.01	0.469	0.005	0.05	0.039	0.422	0	0.006	0
BTC_7_C_1																
BTC_7_C_2		FALL	0.67	0.01	0.32	0		0.009	0.289	0.308	0.044	0.024	0.316	0.001	0.01	0
BTC_7_C_3																
BTC_8_A_1	LATE	LATEFALL	0	1	0	0		0	0	0	0	0	0	0	1	0
BTC_8_A_2	LATE	FALL	1	0	0	0		0.011	0.002	0	0.985	0.002	0	0	0	0
BTC_8_A_3	LATE	FALL	1	0	0	0		0.066	0.035	0	0.688	0.206	0	0	0.004	0
BTC_8_B_1		FALL	0.85	0.02	0.13	0		0.031	0.399	0.056	0.336	0.032	0.127	0.002	0.017	0
BTC_8_B_2																
BTC_8_B_3	LATE	LATEFALL	0	1	0	0		0	0.004	0	0	0	0	0	0.996	0
BTC_8_C_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BTC_8_C_2		SPRING	0.03	0	0.97	0	ButteSp	0.001	0.019	0.001	0.001	0.003	0.974	0	0	0
BTC_8_C_3																
BTC22_10_B_1	LATE	LATEFALL	0	1	0	0		0	0	0	0	0	0	0	1	0
BTC22_10_B_2	EARLY	SPRING	0	0	0.99	0	ButteSp	0	0.005	0	0	0	0.995	0	0	0
BTC22_10_B_3	LATE	FALL	0.99	0.01	0	0		0	0.013	0	0.046	0.935	0	0	0.005	0
BTC22_10_C_1	LATE	FALL	0.94	0.06	0	0		0.009	0.064	0.012	0.553	0.302	0	0	0.06	0
BTC22_10_C_2	LATE	FALL	1	0	0	0		0.01	0.439	0.034	0.378	0.139	0	0	0.001	0
BTC22_10_C_3	LATE	FALL	1	0	0	0		0	0.572	0.196	0.009	0.222	0	0	0	0
BTC22_10_C_4	LATE	LATEFALL	0	1	0	0		0	0	0	0	0	0	0	1	0
BTC22_10_C_5	LATE	LATEFALL	0	1	0	0		0	0	0	0	0	0	0	1	0
BTC22_10_C_6	LATE	LATEFALL	0	1	0	0		0	0	0	0	0	0	0	1	0
BTC22_10_C_7	LATE	LATEFALL	0.01	0.99	0	0		0	0	0	0	0.006	0	0	0.994	0
BTC22_10_C_8	LATE	LATEFALL	0	1	0	0		0	0	0	0	0	0	0	1	0
BTC22_8_D_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0.009	0.989	0.002	0	0	0	0	0	0
BTC22_8_D_2	EARLY	SPRING	0.64	0.03	0.33	0	Feather River Spring	0.383	0.109	0.003	0.141	0	0.327	0.005	0.031	0
BTC22_9_B_1	LATE	FALL	0.99	0.01	0	0		0.004	0.561	0.002	0.423	0.004	0	0	0.006	0
BTC22_9_B_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.807	0.191	0	0.001	0.001	0	0	0
BTC22_9_B_3	LATE	LATEFALL	0	1	0	0		0	0	0	0	0	0	0	1	0
BTC22_9_C_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BTC22_9_C_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.66	0.001	0.002	0.337	0	0	0	0
BTC22_9_C_3	EARLY	SPRING	0.86	0	0.14	0	Feather River Spring	0	0.211	0.643	0	0.005	0.117	0.023	0	0
BTC22_9_C_4	EARLY	SPRING	1	0	0	0	Feather River Spring	0.058	0.504	0.002	0.431	0	0.001	0.003	0	0
BTC22_9_D_1	EARLY	SPRING	0.06	0	0.94	0	ButteSp	0	0.059	0	0	0	0.934	0.007	0	0
BTC22_WR_1	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_10	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_2	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_3	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_4	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_5	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_6	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_7	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_8	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC22_WR_9	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BUT_1_A_1	HETEROZYGOTE	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT_1_A_2	HETEROZYGOTE	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT_1_A_4	HETEROZYGOTE	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT_2_A_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT_2_A_2	LATE	FALL	1	0	0	0		0.069	0.651	0.002	0.022	0.255	0	0	0.001	0
BUT_2_A_3	HETEROZYGOTE	SPRING	0	0	1	0	ButteSp	0	0.003	0	0	0	0.997	0	0	0
BUT_2_A_4	HETEROZYGOTE	FALL	0.99	0.01	0	0		0.165	0.639	0.055	0.03	0.107	0	0	0.006	0
