SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
BUT22_10_B_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_10_B_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_10_B_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_10_B_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	0.999	0.001	0	0
BUT22_10_C_1	LATE	FALL	1	0	0	0		0.039	0.031	0	0.001	0.929	0	0	0	0
BUT22_10_C_2	HETEROZYGOTE	FALL	1	0	0	0		0.003	0.068	0.836	0	0.092	0	0	0	0
BUT22_10_C_3	LATE	FALL	1	0	0	0		0.007	0.169	0.672	0.001	0.151	0	0	0	0
BUT22_10_C_4	LATE	FALL	1	0	0	0		0.001	0.509	0.484	0.004	0.003	0	0	0	0
BUT22_3_A_1																
BUT22_3_A_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_3_A_3	EARLY	SPRING	0.01	0	0.99	0	ButteSp	0	0.002	0.01	0	0	0.989	0	0	0
BUT22_3_A_4																
BUT22_4_A_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_4_A_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_4_A_3	EARLY	SPRING	0.29	0	0.71	0	ButteSp	0	0.059	0.015	0	0.217	0.704	0.003	0.001	0
BUT22_4_A_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_4_B_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_4_B_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_5_A_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0.002	0.001	0	0	0.997	0	0	0
BUT22_5_A_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_6_A_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_6_A_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_6_A_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_6_A_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_6_B_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_6_B_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_6_C_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_A_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_A_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_A_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_A_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_B_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_B_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_B_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_B_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_C_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_C_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_C_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_7_C_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_A_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_A_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_A_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_A_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_B_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_B_2	HETEROZYGOTE						ButteSp									
BUT22_8_B_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_B_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0.001	0	0	0	0.999	0	0	0
BUT22_8_C_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_C_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_8_C_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_A_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_A_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_A_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_A_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_B_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_B_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_B_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_B_4	HETEROZYGOTE	FALL	1	0	0	0		0.221	0.137	0.377	0.047	0.219	0	0	0	0
BUT22_9_B_5	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_B_6	EARLY	SPRING	0.88	0	0.12	0	Feather River Spring	0	0.003	0.88	0.001	0.001	0.115	0	0	0
BUT22_9_C_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_C_11	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0.002	0	0	0.998	0	0	0
BUT22_9_C_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_C_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_C_4	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_C_5	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_C_6	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_C_7	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_C_8	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_C_9	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_D_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_D_2	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUT22_9_D_3	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BUTT22_9_C_10	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
CLR_1_A_1	HETEROZYGOTE	FALL	1	0	0	0		0.005	0.741	0.006	0.248	0	0	0	0	0
CLR_1_A_2		SPRING	0.25	0.02	0.73	0	ButteSp	0.013	0.086	0.011	0.014	0.127	0.731	0	0.019	0
CLR_1_A_3	HETEROZYGOTE	FALL	1	0	0	0		0.1	0.037	0.079	0.783	0.001	0	0	0	0
CLR_2_A_1	LATE	FALL	1	0	0	0		0.352	0.536	0.095	0.012	0.005	0	0	0	0
CLR_2_A_2																
CLR_2_A_3	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.74	0.001	0	0.257	0	0	0	0
CLR_3_A_1																
CLR_3_A_2																
CLR_3_A_3	LATE	FALL	1	0	0	0		0.093	0.52	0.202	0.16	0.026	0	0	0	0
CLR_4_A_1	EARLY	SPRING	0.01	0	0.99	0	ButteSp	0.012	0	0	0	0	0.987	0	0	0
CLR_4_A_2	LATE	FALL	1	0	0	0		0	0.937	0	0	0.062	0	0	0	0
CLR_4_A_3	LATE	FALL	1	0	0	0		0	0.925	0.009	0.002	0.064	0	0	0	0
CLR_4_B_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	0.984	0.016	0	0
CLR_4_B_2																
CLR_5_A_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.009	0.001	0.977	0.013	0	0	0	0
CLR_5_A_2	LATE	FALL	1	0	0	0		0	0.941	0.006	0.044	0.008	0	0	0	0
CLR_5_A_3	LATE	FALL	1	0	0	0		0.001	0.614	0.001	0.273	0.11	0	0	0	0
CLR_6_A_2	LATE	FALL	1	0	0	0		0.616	0.003	0	0.002	0.38	0	0	0	0
CLR_6_A_3																
CLR_6_B_1		FALL	0.99	0.01	0	0		0.033	0.429	0.034	0.416	0.076	0.003	0	0.01	0
CLR_7_A_1																
CLR_7_A_2	LATE	FALL	1	0	0	0		0.006	0.979	0.013	0.001	0	0	0	0	0
CLR_7_A_3	LATE	FALL	0.89	0.11	0	0		0.318	0.127	0.017	0.07	0.362	0	0	0.106	0
CLR_7_B_1																
CLR_7_B_2	HETEROZYGOTE	FALL	1	0	0	0		0.002	0.829	0.162	0	0.006	0	0	0	0
CLR_7_B_3	LATE	FALL	1	0	0	0		0.234	0.262	0.099	0.051	0.352	0.002	0	0	0
CLR_7_C_1																
CLR_8_A_1	LATE	FALL	1	0	0	0		0	0.025	0.004	0.106	0.864	0	0	0.001	0
CLR_8_A_2	LATE	FALL	1	0	0	0		0.002	0.62	0.001	0.342	0.035	0	0	0	0
CLR_8_A_3	LATE	FALL	1	0	0	0		0.028	0.046	0.003	0.008	0.914	0	0	0.001	0
CLR_8_B_1																
CLR_8_B_2																
CLR_8_B_3		FALL	1	0	0	0		0.02	0.6	0.036	0.061	0.279	0	0	0.005	0
CLR_8_C_1	HETEROZYGOTE	FALL	1	0	0	0		0.005	0.054	0	0.439	0.501	0	0	0	0
CLR_8_C_2		FALL	0.99	0.01	0	0		0.036	0.337	0.152	0.022	0.448	0	0	0.005	0
CLR_8_C_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.045	0.801	0.003	0.111	0.039	0	0	0	0
CLR22_10_A_1	LATE	FALL	1	0	0	0		0.135	0	0	0.73	0.134	0	0	0	0
CLR22_10_A_2	LATE	FALL	1	0	0	0		0.061	0.2	0.005	0.052	0.681	0	0	0	0
CLR22_10_A_3	LATE	FALL	1	0	0	0		0	0.004	0	0	0.996	0	0	0	0
CLR22_10_B_1																
CLR22_10_B_2	LATE	FALL	1	0	0	0		0	0.988	0.002	0	0.009	0	0	0	0
CLR22_10_B_3	LATE	FALL	1	0	0	0		0.051	0.025	0.001	0.919	0.004	0	0	0	0
CLR22_10_B_4	LATE	FALL	1	0	0	0		0	0.006	0	0.003	0.991	0	0	0	0
CLR22_10_B_5	HETEROZYGOTE	FALL	1	0	0	0		0	0.998	0	0.001	0.002	0	0	0	0
CLR22_10_B_6	LATE	FALL	1	0	0	0		0	0.955	0.012	0.002	0.03	0	0	0.001	0
CLR22_10_B_7	LATE	FALL	1	0	0	0		0.056	0.881	0.016	0.047	0	0	0	0	0
CLR22_10_B_8	LATE	FALL	0.99	0.01	0	0		0.021	0.011	0	0.96	0.001	0	0	0.008	0
CLR22_10_C_1	LATE	FALL	1	0	0	0		0.001	0.925	0.004	0.067	0.004	0	0	0	0
CLR22_10_C_2	LATE	FALL	1	0	0	0		0	0.813	0.011	0.173	0.002	0	0	0	0
CLR22_10_C_3	HETEROZYGOTE	FALL	1	0	0	0		0.058	0.316	0.009	0.601	0.016	0	0	0.001	0
CLR22_9_A_1	LATE	LATEFALL	0.4	0.6	0	0		0.031	0.071	0.03	0.039	0.229	0	0	0.6	0
CLR22_9_A_2	LATE	FALL	1	0	0	0		0.003	0.602	0.004	0.038	0.353	0	0	0	0
CLR22_9_A_3	LATE	FALL	0.99	0.01	0	0		0.014	0	0	0.968	0.008	0	0	0.009	0
CLR22_9_A_4	LATE	LATEFALL	0.45	0.55	0	0		0.001	0.404	0	0.019	0.029	0	0	0.546	0
CLR22_9_A_5	LATE	FALL	1	0	0	0		0.085	0.02	0	0.006	0.889	0	0	0	0
CLR22_9_B_1	LATE	FALL	0.85	0.15	0	0		0.001	0.057	0	0.186	0.608	0	0	0.148	0
CLR22_9_B_2	HETEROZYGOTE	FALL	1	0	0	0		0.008	0.945	0.009	0.006	0.031	0	0	0.001	0
CLR22_9_B_3	LATE	FALL	1	0	0	0		0.016	0.907	0.002	0.02	0.055	0	0	0	0
CLR22_9_B_4	LATE	FALL	1	0	0	0		0.001	0.446	0	0.005	0.548	0	0	0	0
CLR22_9_B_5	LATE	FALL	1	0	0	0		0.008	0.969	0.017	0	0.006	0	0	0	0
CLR22_9_B_6	HETEROZYGOTE	FALL	1	0	0	0		0.097	0.878	0.005	0.019	0	0	0	0	0
CLR22_9_C_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0.045	0.207	0	0.039	0.709	0	0	0	0
CLR22_9_C_2	HETEROZYGOTE	FALL	1	0	0	0		0.017	0.948	0.022	0.01	0.003	0	0	0	0
CLR22_9_C_3	LATE	FALL	1	0	0	0		0	0.089	0	0.718	0.192	0	0	0	0
DEL22_10_C_1	LATE	LATEFALL	0.43	0.57	0	0		0.006	0.128	0	0.039	0.252	0	0	0.574	0
DEL22_4_A_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0.874	0.073	0.029	0.015	0.005	0	0	0.004	0
DEL22_4_A_2	LATE	FALL	1	0	0	0		0.544	0.188	0.166	0.077	0.025	0	0	0	0
DEL22_4_B_1																
DEL22_5_A_1	LATE	FALL	1	0	0	0		0.018	0.806	0	0	0.175	0	0	0	0
DEL22_5_A_2	LATE	FALL	1	0	0	0		0.395	0.592	0	0.003	0.011	0	0	0	0
DEL22_5_A_3	LATE	FALL	1	0	0	0		0	0.436	0	0.002	0.561	0	0	0	0
DEL22_5_B_1	LATE	FALL	1	0	0	0		0.023	0.903	0.009	0.064	0	0	0	0	0
DEL22_5_B_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0.179	0.614	0.144	0.002	0.061	0	0	0	0
DEL22_5_B_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.059	0.93	0.001	0.01	0	0	0	0
DEL22_5_B_4	HETEROZYGOTE	FALL	0.89	0	0.11	0		0.002	0.811	0.08	0	0	0.106	0	0	0
DEL22_6_A_1	LATE	FALL	1	0	0	0		0.001	0.04	0	0.438	0.521	0	0	0	0
DEL22_6_A_2	LATE	FALL	1	0	0	0		0.052	0.056	0	0.011	0.88	0	0	0	0
DEL22_6_A_3	EARLY	SPRING	0.89	0.11	0	0	Feather River Spring	0.001	0.719	0.036	0.132	0.003	0	0	0.108	0
DEL22_6_B_1	LATE	FALL	1	0	0	0		0	0.977	0.006	0.005	0.011	0	0	0	0
DEL22_6_B_2	LATE	FALL	1	0	0	0		0	0.736	0.051	0.209	0.004	0	0	0	0
DEL22_6_B_3	HETEROZYGOTE	FALL	1	0	0	0		0	0.46	0.513	0.003	0.024	0	0	0	0
DEL22_6_B_5	HETEROZYGOTE	FALL	1	0	0	0		0	0.959	0.038	0.001	0.003	0	0	0	0
DEL22_6_B_6	HETEROZYGOTE	FALL	1	0	0	0		0.404	0.248	0.013	0.302	0.031	0	0	0.002	0
DEL22_6_B_7	HETEROZYGOTE	FALL	1	0	0	0		0.004	0.83	0.092	0.068	0.006	0	0	0	0
DEL22_6_C_1	EARLY	SPRING	0.99	0.01	0	0	Feather River Spring	0.002	0.859	0.035	0.011	0.081	0	0	0.013	0
DEL22_6_C_2	HETEROZYGOTE	FALL	1	0	0	0		0	0.891	0	0.103	0.006	0	0	0	0
DEL22_6_C_3	LATE	FALL	1	0	0	0		0	0.04	0.001	0.958	0	0	0	0	0
DEL22_6_C_4	HETEROZYGOTE	FALL	1	0	0	0		0	0.968	0.022	0.001	0.009	0	0	0	0
DEL22_6_D_1	HETEROZYGOTE	FALL	1	0	0	0		0	0.601	0.37	0.029	0	0	0	0	0
DEL22_7_B_1	LATE	FALL	0.99	0.01	0	0		0.002	0.242	0.099	0.446	0.201	0	0	0.01	0
DEL22_7_B_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.896	0.104	0	0	0	0	0	0
DEL22_7_C_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.078	0.002	0.016	0.903	0	0	0	0
DEL22_7_C_2	LATE	FALL	1	0	0	0		0.039	0.059	0.007	0.069	0.826	0	0	0	0
DEL22_7_C_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.001	0.96	0	0.004	0.035	0	0	0	0
DEL22_7_C_4	HETEROZYGOTE	FALL	0.99	0.01	0	0		0.013	0.128	0.58	0.267	0.003	0	0	0.009	0
DEL22_7_C_5	LATE	FALL	1	0	0	0		0	0.844	0.049	0.003	0.104	0	0	0	0
DEL22_8_C_1	HETEROZYGOTE	FALL	1	0	0	0		0.035	0.928	0.002	0.007	0.028	0	0	0	0
DEL22_8_C_2	LATE	FALL	1	0	0	0		0.65	0.272	0	0.001	0.077	0	0	0	0
DEL22_8_C_3	HETEROZYGOTE	FALL	0.99	0.01	0	0		0.012	0.949	0.005	0.005	0.022	0	0	0.006	0
DEL22_9_C_1	LATE	FALL	1	0	0	0		0	0.736	0.133	0.125	0.006	0	0	0	0
DEL22_9_C_2	LATE	FALL	1	0	0	0		0.016	0.871	0.001	0.097	0.015	0	0	0	0
DEL22_9_C_3	HETEROZYGOTE	FALL	1	0	0	0		0.017	0.742	0.001	0.237	0.003	0	0	0	0
DEL22_9_C_4	LATE	FALL	1	0	0	0		0.379	0.489	0.04	0.067	0.025	0	0	0	0
DEL22_9_C_5	LATE	FALL	1	0	0	0		0.002	0.135	0.028	0.055	0.779	0	0	0	0
DEL22_9_C_6	HETEROZYGOTE	FALL	0.96	0.04	0	0		0.901	0.016	0	0.014	0.032	0	0	0.036	0
DEL22_9_D_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.197	0.794	0	0.008	0	0	0	0
DEL22_9_D_2	LATE	FALL	1	0	0	0		0.001	0.887	0.101	0	0.011	0	0	0	0
DEL22_9_D_3	EARLY															
F1722_10_A_1	LATE	FALL	1	0	0	0		0.027	0.515	0.062	0.003	0.392	0	0	0.001	0
F1722_10_A_10	LATE	FALL	1	0	0	0		0	0.15	0	0.001	0.849	0	0	0	0
F1722_10_A_11	LATE	FALL	1	0	0	0		0.014	0.831	0.002	0.093	0.06	0	0	0	0
F1722_10_A_12	LATE	FALL	1	0	0	0		0.009	0.07	0.001	0.239	0.681	0	0	0	0
F1722_10_A_13	LATE	FALL	0.98	0.02	0	0		0.069	0.174	0.002	0.302	0.437	0	0	0.016	0
F1722_10_A_14	LATE	FALL	1	0	0	0		0.174	0.609	0.002	0.009	0.206	0	0	0.001	0
F1722_10_A_15	LATE	FALL	0.77	0.23	0	0		0.011	0.747	0.002	0	0.009	0	0	0.231	0
F1722_10_A_16	LATE	FALL	0.99	0.01	0	0		0.002	0.001	0	0.987	0.005	0	0	0.005	0
F1722_10_A_17																
F1722_10_A_18	LATE	FALL	1	0	0	0		0.02	0.24	0.002	0.138	0.6	0	0	0	0
