Sample ID,Sampling Event,Date,Time,FL (mm),Field Run ID,SHERLOCK ID,SHERLOCK Early/Late  Call,SHERLOCK Spring/Winter Call,GTSeq ID,Gtseq Chr28 haplo,GTSeq Run ID,Final Run Designation,,** = Incongruence,"Spring*=Early/Early sample that most likely is spring, but has not been run through the spring/winter assay"
BUT23_1_D_1,1,11/9/2022,8:00,105,Spring,,,,BUT23_1_D_1,Spring,,Spring,,,
BUT23_1_D_2,1,11/10/2022,10:00,97,Spring,,,,BUT23_1_D_2,Spring,,Spring,,,
BUT23_1_D_3,1,11/10/2022,10:00,95,Spring,,,,BUT23_1_D_3,Spring,,Spring,,,
BUT23_1_D_4,1,11/10/2022,10:00,100,Spring,,,,BUT23_1_D_4,Spring,,Spring,,,
BUT23_1_E_1,1,11/11/2022,9:00,129,Spring,,,,BUT23_1_E_1,Spring,,Spring,,,
DER23_1_C_1,1,11/3/2022,14:23,84,n/r,,,,DER23_1_C_1,Spring,,Spring,,,
DER23_1_C_2,1,11/3/2022,14:25,80,n/r,,,,DER23_1_C_2,Spring,,Spring,,,
DER23_1_C_3,1,11/8/2022,12:24,76,n/r,,,,DER23_1_C_3,Spring,,Spring,,,
DER23_1_D_1,1,11/3/2022,14:16,90,n/r,,,,DER23_1_D_1,Spring,,Spring,,,
DER23_1_D_2,1,11/3/2022,14:16,88,n/r,,,,DER23_1_D_2,Spring,,Spring,,,
DER23_1_D_3,1,11/8/2022,12:23,99,n/r,,,,DER23_1_D_3,Spring,,Spring,,,
DER23_1_E_1,1,11/4/2022,10:20,108,n/r,,,,DER23_1_E_1,Spring,,Spring,,,
MIL23_1_D_1,1,11/2/2022,11:24,101,n/r,,,,MIL23_1_D_1,Spring,,Spring,,,
MIL23_1_D_2,1,11/4/2022,12:16,99,n/r,,,,MIL23_1_D_2,Spring,,Spring,,,
MIL23_1_D_3,1,11/8/2022,10:20,96,n/r,,,,MIL23_1_D_3,Spring,,Spring,,,
MIL23_1_D_4,1,11/8/2022,10:25,97,n/r,,,,MIL23_1_D_4,Spring,,Spring,,,
MIL23_1_D_5,1,11/8/2022,10:30,101,n/r,,,,MIL23_1_D_5,Spring,,Spring,,,
MIL23_1_D_6,1,11/8/2022,10:35,93,n/r,,,,MIL23_1_D_6,Spring,,Spring,,,
MIL23_1_E_1,1,11/2/2022,11:19,123,n/r,,,,MIL23_1_E_1,Spring,,Spring,,,
BTC23_2_A_1,2,11/25/2022,8:48,34,Spring ,,,,BTC23_2_A_1,Spring,,Spring,,,
BTC23_2_A_10,2,11/25/2022,9:33,34,Spring ,,,,BTC23_2_A_10,Spring,,Spring,,,
BTC23_2_A_2,2,11/25/2022,8:50,35,Spring ,,,,BTC23_2_A_2,Spring,,Spring,,,
BTC23_2_A_3,2,11/25/2022,8:54,36,Spring ,,,,BTC23_2_A_3,Spring,,Spring,,,
BTC23_2_A_4,2,11/25/2022,8:56,34,Spring ,,,,BTC23_2_A_4,Spring,,Spring,,,
BTC23_2_A_5,2,11/25/2022,8:59,34,Spring ,,,,BTC23_2_A_5,Spring,,Spring,,,
BTC23_2_A_6,2,11/25/2022,9:03,34,Spring ,,,,BTC23_2_A_6,Spring,,Spring,,,
BTC23_2_A_7,2,11/25/2022,9:07,35,Spring ,,,,BTC23_2_A_7,Spring,,Spring,,,
BTC23_2_A_8,2,11/25/2022,9:22,34,Spring ,,,,BTC23_2_A_8,Spring,,Spring,,,
BTC23_2_A_9,2,11/25/2022,9:25,35,Spring ,,,,BTC23_2_A_9,Spring,,Spring,,,
CLR23_2_A_1,2,11/21/2022,10:15,34,,,,,CLR23_2_A_1,Spring,,Spring,,,
CLR23_2_A_10,2,12/1/2022,10:52,34,,,,,CLR23_2_A_10,Spring,,Spring,,,
CLR23_2_A_11,2,12/2/2022,10:55,32,,,,,CLR23_2_A_11,Spring,,Spring,,,
CLR23_2_A_12,2,12/3/2022,10:56,35,,,,,CLR23_2_A_12,Spring,,Spring,,,
CLR23_2_A_2,2,11/22/2022,10:20,30,,,,,CLR23_2_A_2,Not Assigned,,Not Assigned,,,
CLR23_2_A_3,2,11/23/2022,10:23,32,,,,,CLR23_2_A_3,Spring,,Spring,,,
CLR23_2_A_4,2,11/25/2022,10:28,30,,,,,,,,,,,
CLR23_2_A_5,2,11/26/2022,10:35,33,,,,,,,,,,,
CLR23_2_A_6,2,11/27/2022,10:42,31,,,,,,,,,,,
CLR23_2_A_7,2,11/28/2022,10:44,33,,,,,,,,,,,
CLR23_2_A_8,2,11/29/2022,10:46,34,,,,,CLR23_2_A_8,Spring,,Spring,,,
CLR23_2_A_9,2,11/30/2022,10:50,30,,,,,CLR23_2_A_9,Spring,,Spring,,,
DER23_2_D_1,2,11/22/2022,9:06,95,n/r,,,,DER23_2_D_1,Spring,,Spring,,,
F6123_2_A_1,2,11/22/2022,9:19,36,Spring,,,,F6123_2_A_1,Spring,,Spring,,,
YUR23_2_A_1,2,11/22/2022,9:15,34,Spring,,,,YUR23_2_A_1,Spring,,Spring,,,
YUR23_2_A_10,2,11/23/2022,10:00,30,Spring,,,,YUR23_2_A_10,Spring,,Spring,,,
YUR23_2_A_11,2,11/23/2022,10:03,34,Spring,,,,YUR23_2_A_11,Spring,,Spring,,,
YUR23_2_A_12,2,11/23/2022,10:05,33,Spring,,,,YUR23_2_A_12,Spring,,Spring,,,
YUR23_2_A_13,2,11/23/2022,10:09,32,Spring,,,,YUR23_2_A_13,Spring,,Spring,,,
YUR23_2_A_14,2,11/23/2022,10:11,30,Spring,,,,YUR23_2_A_14,Spring,,Spring,,,
YUR23_2_A_2,2,11/22/2022,10:22,34,Spring,,,,YUR23_2_A_2,Spring,,Spring,,,
YUR23_2_A_3,2,11/22/2022,10:30,33,Spring,,,,YUR23_2_A_3,Spring,,Spring,,,
YUR23_2_A_4,2,11/22/2022,10:34,34,Spring,,,,YUR23_2_A_4,Spring,,Spring,,,
YUR23_2_A_5,2,11/22/2022,10:38,32,Spring,,,,YUR23_2_A_5,Spring,,Spring,,,
YUR23_2_A_6,2,11/22/2022,10:43,34,Spring,,,,YUR23_2_A_6,Spring,,Spring,,,
YUR23_2_A_7,2,11/23/2022,9:06,35,Spring,,,,YUR23_2_A_7,Spring,,Spring,,,
YUR23_2_A_8,2,11/23/2022,9:13,36,Spring,,,,YUR23_2_A_8,Spring,,Spring,,,
YUR23_2_A_9,2,11/23/2022,9:16,35,Spring,,,,,,,,,,
BTC23_3_A_1,3,12/5/2022,8:40,36,Spring,,Early/Early,,BTC23_3_A_1,Spring,,Spring,,,
BTC23_3_A_2,3,12/5/2022,8:42,34,Spring,,Early/Early,,BTC23_3_A_2,Spring,,Spring,,,
BTC23_3_A_3,3,12/5/2022,8:47,34,Spring,,Early/Early,,BTC23_3_A_3,Spring,,Spring,,,
BTC23_3_A_4,3,12/5/2022,8:49,34,Spring,,,,BTC23_3_A_4,Spring,,Spring,,,
BTC23_3_A_5,3,12/5/2022,8:50,35,Spring,,Early/Early,,BTC23_3_A_5,Spring,,Spring,,,
BTC23_3_A_6,3,12/9/2022,9:30,33,Spring,,Early/Early,,BTC23_3_A_6,Spring,,Spring,,,
BUT23_3_A_1,3,12/5/2022,8:51,32,Spring,,Early/Early,,,,,Spring*,,,
BUT23_3_A_2,3,12/8/2022,9:40,103,Spring,,Early/Early,,BUT23_3_A_2,Spring,,Spring,,,
CLR23_3_A_1,3,12/6/2022,10:50,37,Spring,,,,CLR23_3_A_1,Not Assigned,,Not Assigned,,,
CLR23_3_A_10,3,12/6/2022,10:50,36,Spring,,Early/Early,,CLR23_3_A_10,Spring,,Spring,,,
CLR23_3_A_11,3,12/6/2022,10:50,34,Fall,,Early/Early,,CLR23_3_A_11,Spring,,Spring,,,
CLR23_3_A_12,3,12/6/2022,10:50,36,Spring,,Early/Early,,CLR23_3_A_12,Spring,,Spring,,,
CLR23_3_A_13,3,12/6/2022,10:50,35,Spring,,Early/Early,,CLR23_3_A_13,Spring,,Spring,,,
CLR23_3_A_14,3,12/6/2022,10:50,33,Fall,,Early/Early,,CLR23_3_A_14,Spring,,Spring,,,
CLR23_3_A_15,3,12/6/2022,10:50,35,Spring,,,,CLR23_3_A_15,Spring,,Spring,,,
CLR23_3_A_16,3,12/6/2022,10:50,36,Spring,,Early/Early,,,,,Spring*,,,
CLR23_3_A_17,3,12/6/2022,10:50,36,Spring,,Early/Early,,CLR23_3_A_17,Spring,,Spring,,,
CLR23_3_A_18,3,12/6/2022,10:50,34,Fall,,,,CLR23_3_A_18,Spring,,Spring,,,
CLR23_3_A_19,3,12/6/2022,10:50,34,Fall,,Early/Early,,CLR23_3_A_19,Spring,,Spring,,,
CLR23_3_A_2,3,12/6/2022,10:50,33,Fall,,,,CLR23_3_A_2,Spring,,Spring,,,
CLR23_3_A_20,3,12/6/2022,10:50,34,Fall,,Early/Early,,CLR23_3_A_20,Spring,,Spring,,,
CLR23_3_A_21,3,12/6/2022,10:50,36,Spring,,Early/Early,,CLR23_3_A_21,Spring,,Spring,,,
CLR23_3_A_22,3,12/6/2022,10:50,35,Spring,,Early/Early,,CLR23_3_A_22,Spring,,Spring,,,
CLR23_3_A_23,3,12/6/2022,10:50,35,Spring,,Early/Early,,CLR23_3_A_23,Spring,,Spring,,,
CLR23_3_A_24,3,12/6/2022,10:50,35,Spring,,Early/Early,,CLR23_3_A_24,Spring,,Spring,,,
CLR23_3_A_25,3,12/6/2022,10:50,34,Fall,,Early/Early,,CLR23_3_A_25,Spring,,Spring,,,
CLR23_3_A_3,3,12/6/2022,10:50,36,Spring,,,,CLR23_3_A_3,Spring,,Spring,,,
CLR23_3_A_4,3,12/6/2022,10:50,35,Spring,,,,CLR23_3_A_4,Spring,,Spring,,,
CLR23_3_A_5,3,12/6/2022,10:50,33,Fall,,Early/Early,,CLR23_3_A_5,Spring,,Spring,,,
CLR23_3_A_6,3,12/6/2022,10:50,36,Spring,,,,CLR23_3_A_6,Spring,,Spring,,,
CLR23_3_A_7,3,12/6/2022,10:50,35,Spring,,,,CLR23_3_A_7,Spring,,Spring,,,
CLR23_3_A_8,3,12/6/2022,10:50,36,Spring,,Early/Early,,CLR23_3_A_8,Spring,,Spring,,,
CLR23_3_A_9,3,12/6/2022,10:50,36,Spring,,Early/Early,,CLR23_3_A_9,Spring,,Spring,,,
DER23_3_C_1,3,12/5/2022,9:40,84,n/r,,,,DER23_3_C_1,Spring,,Spring,,,
DER23_3_C_2,3,12/6/2022,9:44,81,n/r,,,,DER23_3_C_2,Spring,,Spring,,,
DER23_3_C_3,3,12/6/2022,9:50,83,n/r,,,,DER23_3_C_3,Spring,,Spring,,,
