Sample ID,Sampling Event,Date,Time,FL (mm),Field Run ID,SHERLOCK ID,SHERLOCK Early/Late  Call,SHERLOCK Spring/Winter Call,GTSeq ID,Gtseq Chr28 haplo,GTSeq Run ID,Final Run Designation,,** = Incongruence,"Spring*=Early/Early sample that most likely is spring, but has not been run through the spring/winter assay"
DER23_3_C_4,3,12/7/2022,12:58,82,n/r,,Early/Early,,DER23_3_C_4,Spring,,Spring,,,
DER23_3_C_5,3,12/7/2022,13:02,81,n/r,,,,DER23_3_C_5,Spring,,Spring,,,
DER23_3_C_6,3,12/14/2022,11:44,84,n/r,,Early/Early,,DER23_3_C_6,Spring,,Spring,,,
DER23_3_D_1,3,12/13/2022,11:50,94,n/r,,,,DER23_3_X_1,Spring,,Spring,,,
DER23_3_D_10,3,12/14/2022,11:57,94,n/r,,Early/Early,,DER23_3_X_10,Spring,,Spring,,,
DER23_3_D_2,3,12/13/2022,12:00,89,n/r,,Early/Early,,DER23_3_X_2,Spring,,Spring,,,
DER23_3_D_3,3,12/13/2022,11:03,91,n/r,,Early/Early,,DER23_3_X_3,Spring,,Spring,,,
DER23_3_D_4,3,12/13/2022,11:10,86,n/r,,Early/Early,,DER23_3_X_4,Spring,,Spring,,,
DER23_3_D_5,3,12/14/2022,11:15,92,n/r,,Early/Early,,DER23_3_X_5,Spring,,Spring,,,
DER23_3_D_6,3,12/14/2022,11:19,96,n/r,,Early/Early,,DER23_3_X_6,Spring,,Spring,,,
DER23_3_D_7,3,12/14/2022,11:32,85,n/r,,,,DER23_3_X_7,Spring,,Spring,,,
DER23_3_D_8,3,12/14/2022,11:39,92,n/r,,Early/Early,,DER23_3_X_8,Spring,,Spring,,,
DER23_3_D_9,3,12/14/2022,11:53,87,n/r,,Early/Early,,DER23_3_X_9,Spring,,Spring,,,
DER23_3_E_1,3,12/14/2022,11:25,109,n/r,,Early/Early,,,,,Spring*,,,
DER23_3_E_2,3,12/14/2022,11:49,106,n/r,,Early/Early,,,,,Spring*,,,
F1723_3_A_1,3,12/5/2022,11:44,36,n/r,,Early/Early,,F1723_3_A_1,Not Assigned,,Spring*,,,
F1723_3_A_10,3,12/5/2022,12:15,37,n/r,,Early/Early,,F1723_3_A_10,Spring,,Spring,,,
F1723_3_A_11,3,12/5/2022,12:24,35,n/r,,Early/Early,,,,,Spring*,,,
F1723_3_A_12,3,12/5/2022,12:26,34,n/r,,Early/Early,,,,,Spring*,,,
F1723_3_A_13,3,12/5/2022,12:27,37,n/r,,,,F1723_3_A_13,Spring,,Spring,,,
F1723_3_A_14,3,12/5/2022,12:29,37,n/r,,Early/Early,,F1723_3_A_14,Spring,,Spring,,,
F1723_3_A_15,3,12/5/2022,12:31,37,n/r,,Early/Early,,F1723_3_A_15,Spring,,Spring,,,
F1723_3_A_16,3,12/5/2022,12:32,36,n/r,,,,F1723_3_A_16,Spring,,Spring,,,
F1723_3_A_17,3,12/5/2022,12:34,34,n/r,,,,F1723_3_A_17,Spring,,Spring,,,
F1723_3_A_18,3,12/5/2022,12:35,35,n/r,,Early/Early,,F1723_3_A_18,Spring,,Spring,,,
F1723_3_A_19,3,12/5/2022,12:37,38,n/r,,Early/Early,,F1723_3_A_19,Spring,,Spring,,,
F1723_3_A_2,3,12/5/2022,11:55,37,n/r,,Early/Early,,F1723_3_A_2,Spring,,Spring,,,
F1723_3_A_20,3,12/5/2022,12:41,36,n/r,,Early/Early,,F1723_3_A_20,Spring,,Spring,,,
F1723_3_A_21,3,12/5/2022,12:43,37,n/r,,,,F1723_3_A_21,Spring,,Spring,,,
F1723_3_A_22,3,12/5/2022,12:45,35,n/r,,Early/Early,,F1723_3_A_22,Spring,,Spring,,,
F1723_3_A_23,3,12/5/2022,12:47,36,n/r,,,,F1723_3_A_23,Spring,,Spring,,,
F1723_3_A_24,3,12/6/2022,12:22,38,n/r,,Early/Early,,F1723_3_A_24,Spring,,Spring,,,
F1723_3_A_25,3,12/6/2022,12:25,38,n/r,,Early/Early,,F1723_3_A_25,Spring,,Spring,,,
F1723_3_A_3,3,12/5/2022,11:57,37,n/r,,Early/Early,,F1723_3_A_3,Spring,,Spring,,,
F1723_3_A_4,3,12/5/2022,11:59,34,n/r,,Early/Early,,F1723_3_A_4,Spring,,Spring,,,
F1723_3_A_5,3,12/5/2022,12:02,35,n/r,,Early/Early,,F1723_3_A_5,Spring,,Spring,,,
F1723_3_A_6,3,12/5/2022,12:04,34,n/r,,Early/Early,,F1723_3_A_6,Spring,,Spring,,,
F1723_3_A_7,3,12/5/2022,12:06,35,n/r,,Early/Early,,F1723_3_A_7,Spring,,Spring,,,
F1723_3_A_8,3,12/5/2022,12:09,36,n/r,,Early/Early,,,,,Spring*,,,
F1723_3_A_9,3,12/5/2022,12:12,34,n/r,,Early/Early,,F1723_3_A_9,Spring,,Spring,,,
F6123_3_A_1,3,12/6/2022,13:00,36,Spring,,Early/Early,,F6123_3_A_1,Spring,,Spring,,,
F6123_3_A_10,3,12/7/2022,9:00,37,Spring,,,,F6123_3_A_10,Fall or Late Fall,,Fall or Late Fall,,,
F6123_3_A_11,3,12/7/2022,9:00,37,Spring,,,,F6123_3_A_11,Fall or Late Fall,,Fall or Late Fall,,,
F6123_3_A_12,3,12/7/2022,9:00,38,Spring,,Early/Early,,F6123_3_A_12,Spring,,Spring,,,
F6123_3_A_13,3,12/7/2022,9:00,34,Spring,,Early/Early,,F6123_3_A_13,Spring,,Spring,,,
F6123_3_A_14,3,12/7/2022,9:00,31,Fall,,Early/Early,,F6123_3_A_14,Spring,,Spring,,,
F6123_3_A_15,3,12/7/2022,9:00,38,Spring,,Early/Early,,F6123_3_A_15,Spring,,Spring,,,
F6123_3_A_16,3,12/7/2022,9:00,35,Spring,,Early/Early,,F6123_3_A_16,Spring,,Spring,,,
F6123_3_A_17,3,12/7/2022,9:00,37,Spring,,Early/Early,,F6123_3_A_17,Spring,,Spring,,,
F6123_3_A_18,3,12/7/2022,9:00,35,Spring,,Early/Early,,F6123_3_A_18,Spring,,Spring,,,
F6123_3_A_19,3,12/8/2022,12:00,36,Spring,,Early/Early,,F6123_3_A_19,Spring,,Spring,,,
F6123_3_A_2,3,12/6/2022,13:00,35,Spring,,Early/Early,,F6123_3_A_2,Spring,,Spring,,,
F6123_3_A_20,3,12/8/2022,12:00,35,Spring,,Early/Early,,F6123_3_A_20,Spring,,Spring,,,
F6123_3_A_21,3,12/8/2022,12:00,34,Spring,,,,F6123_3_A_21,Fall or Late Fall,,Fall or Late Fall,,,
F6123_3_A_22,3,12/8/2022,12:00,35,Spring,,Early/Early,,F6123_3_A_22,Spring,,Spring,,,
F6123_3_A_23,3,12/8/2022,12:00,36,Spring,,Early/Early,,F6123_3_A_23,Spring,,Spring,,,
F6123_3_A_24,3,12/8/2022,12:00,36,Spring,,,,F6123_3_A_24,Fall or Late Fall,,Fall or Late Fall,,,
F6123_3_A_25,3,12/8/2022,12:00,35,Spring,,,,F6123_3_A_25,Spring,,Spring,,,
F6123_3_A_26,3,12/9/2022,12:40,34,Fall,,Early/Early,,F6123_3_A_26,Spring,,Spring,,,
F6123_3_A_27,3,12/9/2022,12:40,35,Spring,,Early/Early,,F6123_3_A_27,Spring,,Spring,,,
F6123_3_A_28,3,12/9/2022,12:40,32,Fall,,,,F6123_3_A_28,Fall or Late Fall,,Fall or Late Fall,,,
F6123_3_A_29,3,12/9/2022,12:40,34,Fall,,Early/Early,,F6123_3_A_29,Spring,,Spring,,,
F6123_3_A_3,3,12/6/2022,13:00,37,Spring,,Early/Early,,F6123_3_A_3,Spring,,Spring,,,
F6123_3_A_30,3,12/9/2022,12:40,34,Fall,,,,F6123_3_A_30,Fall or Late Fall,,Fall or Late Fall,,,
F6123_3_A_31,3,12/9/2022,12:40,34,Fall,,,,F6123_3_A_31,Fall or Late Fall,,Fall or Late Fall,,,
F6123_3_A_32,3,12/9/2022,12:40,36,Spring,,Early/Early,,F6123_3_A_32,Spring,,Spring,,,
F6123_3_A_33,3,12/9/2022,12:40,37,Spring,,Early/Early,,F6123_3_A_33,Spring,,Spring,,,
F6123_3_A_34,3,12/13/2022,9:50,35,Fall,,Early/Early,,F6123_3_A_34,Not Assigned,,Spring*,,,
F6123_3_A_35,3,12/13/2022,9:50,33,Fall,,,,F6123_3_A_35,Fall or Late Fall,,Fall or Late Fall,,,
F6123_3_A_4,3,12/6/2022,13:00,37,Spring,,Early/Early,,F6123_3_A_4,Spring,,Spring,,,
F6123_3_A_5,3,12/6/2022,13:00,34,Spring,,Early/Early,,F6123_3_A_5,Spring,,Spring,,,
F6123_3_A_6,3,12/6/2022,13:00,36,Spring,,Early/Early,,F6123_3_A_6,Spring,,Spring,,,
F6123_3_A_7,3,12/6/2022,13:00,38,Spring,,Early/Early,,F6123_3_A_7,Spring,,Spring,,,
F6123_3_A_8,3,12/6/2022,13:00,35,Spring,,Early/Early,,F6123_3_A_8,Spring,,Spring,,,
F6123_3_A_9,3,12/7/2022,9:00,35,Spring,,Early/Early,,F6123_3_A_9,Spring,,Spring,,,
MIL23_3_D_1,3,11/13/2022,3:16,96,n/r,,Early/Early,,MIL23_3_X_1,Spring,,Spring,,,
MIL23_3_D_2,3,11/13/2022,3:25,103,n/r,,Early/Early,,MIL23_3_X_2,Spring,,Spring,,,
MIL23_3_D_3,3,11/14/2022,3:00,94,n/r,,Early/Early,,MIL23_3_X_3,Spring,,Spring,,,
YUR23_3_A_1,3,12/8/2022,9:25,36,Spring,,Early/Early,,YUR23_3_A_1,Spring,,Spring,,,
YUR23_3_A_10,3,12/8/2022,9:44,35,Spring,,Early/Early,,YUR23_3_A_10,Spring,,Spring,,,
YUR23_3_A_11,3,12/8/2022,9:46,35,Spring,,Early/Early,,YUR23_3_A_11,Spring,,Spring,,,
YUR23_3_A_12,3,12/8/2022,9:47,34,Fall,,Early/Early,,YUR23_3_A_12,Spring,,Spring,,,
YUR23_3_A_13,3,12/8/2022,9:48,36,Spring,,Early/Early,,YUR23_3_A_13,Spring,,Spring,,,
YUR23_3_A_14,3,12/8/2022,9:49,34,Fall,,Early/Early,,YUR23_3_A_14,Spring,,Spring,,,
YUR23_3_A_15,3,12/8/2022,9:51,35,Spring,,Early/Early,,YUR23_3_A_15,Spring,,Spring,,,
YUR23_3_A_2,3,12/8/2022,9:29,31,Fall,,Early/Early,,YUR23_3_A_2,Spring,,Spring,,,
YUR23_3_A_3,3,12/8/2022,9:31,36,Spring,,,,YUR23_3_A_3,Spring,,Spring,,,
YUR23_3_A_4,3,12/8/2022,9:33,35,Spring,,Early/Early,,YUR23_3_A_4,Spring,,Spring,,,
YUR23_3_A_5,3,12/8/2022,9:35,34,Fall,,Early/Early,,YUR23_3_A_5,Spring,,Spring,,,
YUR23_3_A_6,3,12/8/2022,9:37,35,Spring,,Early/Early,,YUR23_3_A_6,Spring,,Spring,,,
YUR23_3_A_7,3,12/8/2022,9:39,36,Spring,,Early/Early,,YUR23_3_A_7,Spring,,Spring,,,
YUR23_3_A_8,3,12/8/2022,9:41,33,Fall,,Early/Early,,YUR23_3_A_8,Spring,,Spring,,,
YUR23_3_A_9,3,12/8/2022,9:43,34,Fall,,Early/Early,,YUR23_3_A_9,Spring,,Spring,,,
BTC23_4_A_1,4,12/19/2022,2:50,36,Fall,,Early/Early,,BTC23_4_A_1,Spring,,Spring,,,
BTC23_4_A_10,4,12/20/2022,10:09,32,Fall,,Early/Early,,BTC23_4_A_10,Spring,,Spring,,,
BTC23_4_A_11,4,12/20/2022,10:20,34,Fall,,Early/Early,,BTC23_4_A_11,Spring,,Spring,,,
BTC23_4_A_12,4,12/20/2022,10:26,32,Fall,,Early/Early,,BTC23_4_A_12,Spring,,Spring,,,
BTC23_4_A_2,4,12/19/2022,2:53,32,Fall,,Early/Early,,BTC23_4_A_2,Spring,,Spring,,,
BTC23_4_A_3,4,12/19/2022,3:00,32,Fall,,Early/Early,,BTC23_4_A_3,Spring,,Spring,,,
BTC23_4_A_4,4,12/20/2022,9:40,33,Fall,,Early/Early,,BTC23_4_A_4,Spring,,Spring,,,
BTC23_4_A_5,4,12/20/2022,9:44,36,Fall,,Early/Early,,BTC23_4_A_5,Spring,,Spring,,,
BTC23_4_A_6,4,12/20/2022,9:47,35,Fall,,Early/Early,,BTC23_4_A_6,Spring,,Spring,,,
BTC23_4_A_7,4,12/20/2022,9:52,37,Fall,,,,BTC23_4_A_7,Spring,,Spring,,,
BTC23_4_A_8,4,12/20/2022,9:56,34,Fall,,,,BTC23_4_A_8,Spring,,Spring,,,
BTC23_4_A_9,4,12/20/2022,10:05,36,Fall,,,,BTC23_4_A_9,Spring,,Spring,,,
BUT23_4_A_1,4,12/19/2022,9:00,119,Spring,,,,BUT23_4_A_1,Spring,,Spring,,,
CLR23_4_A_1,4,12/19/2022,11:29,37,Fall,,,,CLR23_4_A_1,Fall or Late Fall,,Fall or Late Fall,,,
CLR23_4_A_10,4,12/19/2022,11:58,34,Fall,,Early/Early,,CLR23_4_A_10,Spring,,Spring,,,
CLR23_4_A_11,4,12/19/2022,12:00,37,Fall,,Early/Early,,CLR23_4_A_11,Fall or Late Fall,,Fall or Late Fall**,,,
CLR23_4_A_12,4,12/19/2022,12:01,35,Fall,,,,CLR23_4_A_12,Spring,,Spring,,,
CLR23_4_A_13,4,12/19/2022,12:04,38,Fall,,Early/Early,,CLR23_4_A_13,Spring,,Spring,,,
CLR23_4_A_14,4,12/19/2022,12:06,37,Fall,,Early/Early,,CLR23_4_A_14,Spring,,Spring,,,
CLR23_4_A_15,4,12/19/2022,12:07,37,Fall,,Early/Early,,CLR23_4_A_15,Spring,,Spring,,,
CLR23_4_A_16,4,12/19/2022,12:09,36,Fall,,Early/Early,,CLR23_4_A_16,Spring,,Spring,,,
CLR23_4_A_17,4,12/19/2022,12:12,37,Fall,,,,CLR23_4_A_17,Spring,,Spring,,,
CLR23_4_A_18,4,12/19/2022,10:21,34,Fall,,Early/Early,,CLR23_4_A_18,Spring,,Spring,,,
CLR23_4_A_19,4,12/20/2022,10:21,36,Fall,,,,CLR23_4_A_19,Spring,,Spring,,,
CLR23_4_A_2,4,12/19/2022,11:33,38,Spring ,,Early/Early,,CLR23_4_A_2,Spring,,Spring,,,
CLR23_4_A_20,4,12/20/2022,10:21,38,Fall,,Early/Early,,CLR23_4_A_20,Spring,,Spring,,,
CLR23_4_A_21,4,12/20/2022,10:21,38,Fall,,Early/Early,,CLR23_4_A_21,Spring,,Spring,,,
CLR23_4_A_22,4,12/20/2022,10:21,36,Fall,,,,CLR23_4_A_22,Spring,,Spring,,,
CLR23_4_A_23,4,12/20/2022,10:21,37,Fall,,Early/Early,,CLR23_4_A_23,Spring,,Spring,,,
CLR23_4_A_24,4,12/20/2022,10:21,36,Fall,,,,CLR23_4_A_24,Spring,,Spring,,,
CLR23_4_A_25,4,12/20/2022,10:21,35,Fall,,Early/Early,,CLR23_4_A_25,Fall or Late Fall,,Fall or Late Fall**,,,
CLR23_4_A_3,4,12/19/2022,11:34,33,Fall,,Early/Early,,CLR23_4_A_3,Spring,,Spring,,,
CLR23_4_A_4,4,12/19/2022,11:36,35,Spring ,,,,CLR23_4_A_4,Spring,,Spring,,,
CLR23_4_A_5,4,12/19/2022,11:39,35,Fall,,Early/Early,,CLR23_4_A_5,Spring,,Spring,,,
CLR23_4_A_6,4,12/19/2022,11:41,35,Fall,,,,CLR23_4_A_6,Spring,,Spring,,,
CLR23_4_A_7,4,12/19/2022,11:44,35,Fall,,,,CLR23_4_A_7,Spring,,Spring,,,
CLR23_4_A_8,4,12/19/2022,11:47,35,Fall,,Early/Early,,CLR23_4_A_8,Spring,,Spring,,,
CLR23_4_A_9,4,12/19/2022,11:57,36,Fall,,Early/Early,,CLR23_4_A_9,Spring,,Spring,,,
CLR23_4_B_1,4,12/20/2022,10:21,113,Late Fall,,Late/Late,,CLR23_4_B_1,Fall or Late Fall,,Fall or Late Fall,,,
DER23_4_D_1,4,12/20/2022,11:25,90,,,Early/Early,,MIL23_4_X_1,Spring,,Spring,,,
F1723_4_A_1,4,12/15/2022,10:26,38,Spring,,Early/Early,,F1723_4_A_1,Spring,,Spring,,,
F1723_4_A_10,4,12/19/2022,11:37,36,Fall,,Early/Early,,F1723_4_A_10,Spring,,Spring,,,
F1723_4_A_11,4,12/19/2022,11:39,34,Fall,,Early/Early,,F1723_4_A_11,Spring,,Spring,,,
F1723_4_A_12,4,12/20/2022,11:39,34,Fall,,,,F1723_4_A_12,Spring,,Spring,,,
F1723_4_A_13,4,12/20/2022,11:42,34,Fall,,Early/Early,,F1723_4_A_13,Spring,,Spring,,,
F1723_4_A_14,4,12/21/2022,11:24,36,,,Early/Early,,F1723_4_A_14,Spring,,Spring,,,
F1723_4_A_15,4,12/21/2022,11:26,39,,,Early/Early,,F1723_4_A_15,Spring,,Spring,,,
F1723_4_A_16,4,12/22/2022,14:42,36,,,,,F1723_4_A_16,Spring,,Spring,,,
F1723_4_A_17,4,12/22/2022,14:45,39,,,Early/Early,,F1723_4_A_17,Spring,,Spring,,,
F1723_4_A_18,4,12/22/2022,14:50,36,,,,,F1723_4_A_18,Fall or Late Fall,,Fall or Late Fall,,,
