SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
BTC23_10_A_1	EARLY	SPRING	0.01	0	0.99	0	ButteSp	0	0.011	0	0	0	0.989	0	0	0
BTC23_10_A_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.764	0	0.027	0.209	0	0	0	0
BTC23_10_B_1	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
BTC23_11_B_1a	EARLY	SPRING	1	0	0	0	Feather River Spring	0.001	0.996	0	0.003	0	0	0	0	0
BTC23_11_B_1b	EARLY	SPRING	0.96	0.04	0	0	Feather River Spring	0.001	0.788	0.048	0.003	0.116	0	0.002	0.042	0
BTC23_11_B_4	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC23_12_B_1	HETEROZYGOTE	FALL	1	0	0	0		0	0.886	0.003	0.11	0.001	0	0	0	0
BTC23_12_B_2	HETEROZYGOTE	FALL	1	0	0	0		0.027	0.891	0	0.003	0.079	0	0	0	0
BTC23_12_B_3	HETEROZYGOTE	FALL	1	0	0	0		0.008	0.962	0.022	0.006	0.002	0	0	0	0
BTC23_12_B_4	EARLY	SPRING	1	0	0	0	Feather River Spring	0.013	0.987	0	0	0	0	0	0	0
BTC23_12_B_5	EARLY	SPRING	0.99	0	0.01	0	Feather River Spring	0	0.492	0.495	0.002	0	0	0.01	0	0
BTC23_12_C_1	EARLY	SPRING	0.39	0	0.61	0	ButteSp	0.03	0.312	0.001	0.037	0.006	0.602	0.011	0	0
BTC23_13_B_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0.002	0.993	0	0	0.005	0	0	0	0
BTC23_13_B_2	EARLY	SPRING	0.88	0.04	0.07	0	Feather River Spring	0.412	0.124	0.182	0	0.166	0.005	0.065	0.045	0
BTC23_13_B_3	EARLY	SPRING	0.98	0.01	0	0	Feather River Spring	0.007	0.166	0.713	0.094	0.005	0	0	0.015	0
BTC23_13_C_1	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.462	0	0.013	0.525	0	0	0	0
BTC23_13_C_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0.003	0.005	0.967	0.01	0.015	0	0	0	0
BTC23_13_C_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.011	0.031	0.002	0.467	0.488	0	0	0	0
BTC23_13_C_4	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.01	0.99	0	0	0	0	0	0
