location,sample_id,sample_type_id,assay_id,plate_run_id
C1,FTH_RM1722_5_A_13,1,3,
D1,FTH_RM1722_5_B_36,1,3,
E1,FTH_RM1722_5_B_58,1,3,
F1,FTH_RM1722_5_C_78,1,3,
G1,FTH_RM1722_5_D_99,1,3,
H1,FTH_RM1722_5_D_120,1,3,
J1,FTH_RM1722_6_B_42,1,3,
K1,FTH_RM1722_6_C_63,1,3,
M1,FTH_RM1722_6_D_103,1,3,
N1,FTH_RM1722_7_A_3,1,3,
O1,FTH_RM1722_7_A_24,1,3,
P1,FTH_RM1722_7_B_45,1,3,
A2,FTH_RM1722_4_C_61,1,3,
B2,FTH_RM1722_4_C_82,1,3,
C2,FTH_RM1722_5_A_14,1,3,
D2,FTH_RM1722_5_B_37,1,3,
F2,FTH_RM1722_5_C_79,1,3,
G2,FTH_RM1722_5_D_100,1,3,
H2,FTH_RM1722_6_A_1,1,3,
J2,FTH_RM1722_6_B_43,1,3,
L2,FTH_RM1722_6_C_83,1,3,
M2,FTH_RM1722_6_D_104,1,3,
N2,FTH_RM1722_7_A_4,1,3,
O2,FTH_RM1722_7_A_25,1,3,
A3,FTH_RM1722_4_C_62,1,3,
C3,FTH_RM1722_5_A_15,1,3,
E3,FTH_RM1722_5_B_60,1,3,
G3,FTH_RM1722_5_D_101,1,3,
H3,FTH_RM1722_6_A_2,1,3,
I3,FTH_RM1722_6_A_24,1,3,
J3,FTH_RM1722_6_B_44,1,3,
K3,FTH_RM1722_6_C_65,1,3,
N3,FTH_RM1722_7_A_5,1,3,
O3,FTH_RM1722_7_A_26,1,3,
A4,FTH_RM1722_4_C_63,1,3,
B4,FTH_RM1722_4_C_84,1,3,
C4,FTH_RM1722_5_A_16,1,3,
D4,FTH_RM1722_5_B_39,1,3,
E4,FTH_RM1722_5_C_61,1,3,
G4,FTH_RM1722_5_D_102,1,3,
H4,FTH_RM1722_6_A_3,1,3,
I4,FTH_RM1722_6_A_25,1,3,
J4,FTH_RM1722_6_B_45,1,3,
K4,FTH_RM1722_6_C_66,1,3,
L4,FTH_RM1722_6_C_85,1,3,
M4,FTH_RM1722_6_D_106,1,3,
N4,FTH_RM1722_7_A_6,1,3,
O4,FTH_RM1722_7_A_27,1,3,
P4,FTH_RM1722_7_B_47,1,3,
B5,FTH_RM1722_4_C_85,1,3,
C5,FTH_RM1722_5_A_17,1,3,
E5,FTH_RM1722_5_C_62,1,3,
F5,FTH_RM1722_5_C_82,1,3,
G5,FTH_RM1722_5_D_103,1,3,
J5,FTH_RM1722_6_B_46,1,3,
K5,FTH_RM1722_6_C_67,1,3,
M5,FTH_RM1722_6_D_107,1,3,
O5,FTH_RM1722_7_A_28,1,3,
A6,FTH_RM1722_4_C_64,1,3,
B6,FTH_RM1722_4_C_86,1,3,
C6,FTH_RM1722_5_A_18,1,3,
D6,FTH_RM1722_5_B_41,1,3,
E6,FTH_RM1722_5_C_63,1,3,
F6,FTH_RM1722_5_C_83,1,3,
G6,FTH_RM1722_5_D_104,1,3,
I6,FTH_RM1722_6_A_27,1,3,
J6,FTH_RM1722_6_B_47,1,3,
K6,FTH_RM1722_6_C_68,1,3,
L6,FTH_RM1722_6_C_87,1,3,
M6,FTH_RM1722_6_D_108,1,3,
N6,FTH_RM1722_7_A_8,1,3,
O6,FTH_RM1722_7_A_29,1,3,
P6,FTH_RM1722_7_B_48,1,3,
B7,FTH_RM1722_4_C_87,1,3,
C7,FTH_RM1722_5_A_19,1,3,
E7,FTH_RM1722_5_C_64,1,3,
F7,FTH_RM1722_5_C_84,1,3,
G7,FTH_RM1722_5_D_105,1,3,
I7,FTH_RM1722_6_A_28,1,3,
J7,FTH_RM1722_6_B_48,1,3,
K7,FTH_RM1722_6_C_69,1,3,
L7,FTH_RM1722_6_C_88,1,3,
M7,FTH_RM1722_6_D_109,1,3,
A8,FTH_RM1722_4_C_66,1,3,
C8,FTH_RM1722_5_A_20,1,3,
D8,FTH_RM1722_5_B_42,1,3,
E8,FTH_RM1722_5_C_65,1,3,
G8,FTH_RM1722_5_D_106,1,3,
H8,FTH_RM1722_6_A_7,1,3,
I8,FTH_RM1722_6_A_29,1,3,
J8,FTH_RM1722_6_B_49,1,3,
K8,FTH_RM1722_6_C_70,1,3,
L8,FTH_RM1722_6_C_89,1,3,
M8,FTH_RM1722_6_D_110,1,3,
N8,FTH_RM1722_7_A_10,1,3,
O8,FTH_RM1722_7_A_30,1,3,
A9,FTH_RM1722_4_C_67,1,3,
B9,FTH_RM1722_4_C_89,1,3,
C9,FTH_RM1722_5_A_21,1,3,
D9,FTH_RM1722_5_B_43,1,3,
E9,FTH_RM1722_5_C_66,1,3,
G9,FTH_RM1722_5_D_107,1,3,
H9,FTH_RM1722_6_A_8,1,3,
I9,FTH_RM1722_6_A_30,1,3,
K9,FTH_RM1722_6_C_71,1,3,
L9,FTH_RM1722_6_C_90,1,3,
M9,FTH_RM1722_6_D_111,1,3,
O9,FTH_RM1722_7_B_31,1,3,
P9,FTH_RM1722_7_B_51,1,3,
A10,FTH_RM1722_4_C_68,1,3,
C10,FTH_RM1722_5_A_22,1,3,
D10,FTH_RM1722_5_B_44,1,3,
E10,FTH_RM1722_5_C_67,1,3,
G10,FTH_RM1722_5_D_108,1,3,
I10,FTH_RM1722_6_B_31,1,3,
M10,FTH_RM1722_6_D_112,1,3,
O10,FTH_RM1722_7_B_32,1,3,
A11,FTH_RM1722_4_C_69,1,3,
B11,FTH_RM1722_5_A_1,1,3,
C11,FTH_RM1722_5_A_23,1,3,
D11,FTH_RM1722_5_B_45,1,3,
E11,FTH_RM1722_5_C_68,1,3,
F11,FTH_RM1722_5_C_87,1,3,
G11,FTH_RM1722_5_D_109,1,3,
J11,FTH_RM1722_6_B_51,1,3,
L11,FTH_RM1722_6_D_92,1,3,
A13,FTH_RM1722_4_C_70,1,3,
B13,FTH_RM1722_5_A_2,1,3,
C13,FTH_RM1722_5_A_24,1,3,
D13,FTH_RM1722_5_B_46,1,3,
G13,FTH_RM1722_5_D_110,1,3,
I13,FTH_RM1722_6_B_32,1,3,
K13,FTH_RM1722_6_C_72,1,3,
L13,FTH_RM1722_6_D_93,1,3,
N13,FTH_RM1722_7_A_14,1,3,
O13,FTH_RM1722_7_B_34,1,3,
A14,FTH_RM1722_4_C_71,1,3,
C14,FTH_RM1722_5_A_25,1,3,
E14,FTH_RM1722_5_C_70,1,3,
I14,FTH_RM1722_6_B_33,1,3,
K14,FTH_RM1722_6_C_73,1,3,
M14,FTH_RM1722_6_D_114,1,3,
O14,FTH_RM1722_7_B_35,1,3,
P14,FTH_RM1722_7_B_54,1,3,
A15,FTH_RM1722_4_C_72,1,3,
C15,FTH_RM1722_5_A_26,1,3,
E15,FTH_RM1722_5_C_71,1,3,
G15,FTH_RM1722_5_D_112,1,3,
C16,FTH_RM1722_5_A_27,1,3,
I16,FTH_RM1722_6_B_35,1,3,
J16,FTH_RM1722_6_B_55,1,3,
L16,FTH_RM1722_6_D_96,1,3,
N16,FTH_RM1722_7_A_17,1,3,
O16,FTH_RM1722_7_B_37,1,3,
P16,FTH_RM1722_7_B_56,1,3,
G17,FTH_RM1722_5_D_114,1,3,
I17,FTH_RM1722_6_B_36,1,3,
J17,FTH_RM1722_6_B_56,1,3,
K17,FTH_RM1722_6_C_76,1,3,
M17,FTH_RM1722_6_D_116,1,3,
A18,FTH_RM1722_4_C_75,1,3,
C18,FTH_RM1722_5_A_29,1,3,
D18,FTH_RM1722_5_B_51,1,3,
E18,FTH_RM1722_5_C_73,1,3,
F18,FTH_RM1722_5_D_93,1,3,
G18,FTH_RM1722_5_D_115,1,3,
K18,FTH_RM1722_6_C_77,1,3,
N18,FTH_RM1722_7_A_19,1,3,
O18,FTH_RM1722_7_B_39,1,3,
B19,FTH_RM1722_5_A_7,1,3,
C19,FTH_RM1722_5_A_30,1,3,
E19,FTH_RM1722_5_C_74,1,3,
I19,FTH_RM1722_6_B_38,1,3,
K19,FTH_RM1722_6_C_78,1,3,
A20,FTH_RM1722_4_C_77,1,3,
B20,FTH_RM1722_5_A_8,1,3,
C20,FTH_RM1722_5_B_31,1,3,
D20,FTH_RM1722_5_B_53,1,3,
E20,FTH_RM1722_5_C_75,1,3,
H20,FTH_RM1722_6_A_18,1,3,
I20,FTH_RM1722_6_B_39,1,3,
J20,FTH_RM1722_6_B_59,1,3,
K20,FTH_RM1722_6_C_79,1,3,
L20,FTH_RM1722_6_D_99,1,3,
N20,FTH_RM1722_7_A_20,1,3,
A21,FTH_RM1722_4_C_78,1,3,
B21,FTH_RM1722_5_A_9,1,3,
C21,FTH_RM1722_5_B_32,1,3,
F21,FTH_RM1722_5_D_96,1,3,
G21,FTH_RM1722_5_D_117,1,3,
H21,FTH_RM1722_6_A_19,1,3,
K21,FTH_RM1722_6_C_80,1,3,
O21,FTH_RM1722_7_B_42,1,3,
A22,FTH_RM1722_4_C_79,1,3,
B22,FTH_RM1722_5_A_10,1,3,
C22,FTH_RM1722_5_B_33,1,3,
D22,FTH_RM1722_5_B_55,1,3,
G22,FTH_RM1722_5_D_118,1,3,
H22,FTH_RM1722_6_A_20,1,3,
J22,FTH_RM1722_6_B_60,1,3,
K22,FTH_RM1722_6_C_81,1,3,
O22,FTH_RM1722_7_B_43,1,3,
P22,FTH_RM1722_7_B_58,1,3,
A23,FTH_RM1722_4_C_80,1,3,
F23,FTH_RM1722_5_D_98,1,3,
H23,FTH_RM1722_6_A_21,1,3,
I23,FTH_RM1722_6_B_41,1,3,
L23,FTH_RM1722_6_D_102,1,3,
M23,FTH_RM1722_7_A_2,1,3,
N23,FTH_RM1722_7_A_22,1,3,
P23,FTH_RM1722_7_B_59,1,3,
B24,FTH_RM1722_5_A_12,1,3,
D24,FTH_RM1722_5_B_57,1,3,
J24,FTH_RM1722_6_C_62,1,3,
N24,FTH_RM1722_7_A_23,1,3,
