location,sample_id,sample_type_id,assay_id,plate_run_id
G10,FTH_RM1722_5_D_108,1,2,
G11,FTH_RM1722_5_D_109,1,2,
G13,FTH_RM1722_5_D_110,1,2,
G14,CONTROL,1,2,
G15,FTH_RM1722_5_D_112,1,2,
G16,FTH_RM1722_5_D_113,1,2,
G17,FTH_RM1722_5_D_114,1,2,
G18,FTH_RM1722_5_D_115,1,2,
G19,FTH_RM1722_5_D_116,1,2,
G21,FTH_RM1722_5_D_117,1,2,
G22,FTH_RM1722_5_D_118,1,2,
G23,FTH_RM1722_5_D_119,1,2,
H1,FTH_RM1722_5_D_120,1,2,
H2,FTH_RM1722_6_A_1,1,2,
H3,FTH_RM1722_6_A_2,1,2,
H4,FTH_RM1722_6_A_3,1,2,
H5,CONTROL,1,2,
H6,FTH_RM1722_6_A_5,1,2,
H7,FTH_RM1722_6_A_6,1,2,
H8,FTH_RM1722_6_A_7,1,2,
H9,FTH_RM1722_6_A_8,1,2,
H10,FTH_RM1722_6_A_9,1,2,
H11,FTH_RM1722_6_A_10,1,2,
H13,FTH_RM1722_6_A_11,1,2,
H14,FTH_RM1722_6_A_12,1,2,
H15,FTH_RM1722_6_A_13,1,2,
H16,FTH_RM1722_6_A_14,1,2,
H17,FTH_RM1722_6_A_15,1,2,
H18,FTH_RM1722_6_A_16,1,2,
H19,FTH_RM1722_6_A_17,1,2,
H20,FTH_RM1722_6_A_18,1,2,
H21,FTH_RM1722_6_A_19,1,2,
H22,FTH_RM1722_6_A_20,1,2,
H23,FTH_RM1722_6_A_21,1,2,
H24,FTH_RM1722_6_A_22,1,2,
I1,FTH_RM1722_6_A_23,1,2,
I3,FTH_RM1722_6_A_24,1,2,
I4,FTH_RM1722_6_A_25,1,2,
I5,FTH_RM1722_6_A_26,1,2,
I6,FTH_RM1722_6_A_27,1,2,
I7,FTH_RM1722_6_A_28,1,2,
I8,FTH_RM1722_6_A_29,1,2,
I9,FTH_RM1722_6_A_30,1,2,
I10,FTH_RM1722_6_B_31,1,2,
I13,FTH_RM1722_6_B_32,1,2,
I14,FTH_RM1722_6_B_33,1,2,
I15,FTH_RM1722_6_B_34,1,2,
I16,FTH_RM1722_6_B_35,1,2,
I17,FTH_RM1722_6_B_36,1,2,
I18,FTH_RM1722_6_B_37,1,2,
I19,FTH_RM1722_6_B_38,1,2,
I20,FTH_RM1722_6_B_39,1,2,
I21,FTH_RM1722_6_B_40,1,2,
I23,FTH_RM1722_6_B_41,1,2,
J1,FTH_RM1722_6_B_42,1,2,
J2,FTH_RM1722_6_B_43,1,2,
J3,FTH_RM1722_6_B_44,1,2,
J4,FTH_RM1722_6_B_45,1,2,
J5,FTH_RM1722_6_B_46,1,2,
J6,FTH_RM1722_6_B_47,1,2,
J7,FTH_RM1722_6_B_48,1,2,
J8,FTH_RM1722_6_B_49,1,2,
J9,FTH_RM1722_6_B_50,1,2,
J11,FTH_RM1722_6_B_51,1,2,
J13,FTH_RM1722_6_B_52,1,2,
J14,FTH_RM1722_6_B_53,1,2,
J15,FTH_RM1722_6_B_54,1,2,
J16,FTH_RM1722_6_B_55,1,2,
J17,FTH_RM1722_6_B_56,1,2,
J18,FTH_RM1722_6_B_57,1,2,
J19,FTH_RM1722_6_B_58,1,2,
J20,FTH_RM1722_6_B_59,1,2,
J22,FTH_RM1722_6_B_60,1,2,
J23,FTH_RM1722_6_C_61,1,2,
J24,FTH_RM1722_6_C_62,1,2,
K1,FTH_RM1722_6_C_63,1,2,
K2,FTH_RM1722_6_C_64,1,2,
K3,FTH_RM1722_6_C_65,1,2,
K4,FTH_RM1722_6_C_66,1,2,
K5,FTH_RM1722_6_C_67,1,2,
K6,FTH_RM1722_6_C_68,1,2,
K7,FTH_RM1722_6_C_69,1,2,
K8,FTH_RM1722_6_C_70,1,2,
K9,FTH_RM1722_6_C_71,1,2,
K13,FTH_RM1722_6_C_72,1,2,
K14,FTH_RM1722_6_C_73,1,2,
K15,FTH_RM1722_6_C_74,1,2,
K16,FTH_RM1722_6_C_75,1,2,
K17,FTH_RM1722_6_C_76,1,2,
K18,FTH_RM1722_6_C_77,1,2,
K19,FTH_RM1722_6_C_78,1,2,
K20,FTH_RM1722_6_C_79,1,2,
K21,FTH_RM1722_6_C_80,1,2,
K22,FTH_RM1722_6_C_81,1,2,
L1,FTH_RM1722_6_C_82,1,2,
L2,FTH_RM1722_6_C_83,1,2,
L3,FTH_RM1722_6_C_84,1,2,
L4,FTH_RM1722_6_C_85,1,2,
L5,FTH_RM1722_6_C_86,1,2,
L6,FTH_RM1722_6_C_87,1,2,
L7,FTH_RM1722_6_C_88,1,2,
L8,FTH_RM1722_6_C_89,1,2,
L9,FTH_RM1722_6_C_90,1,2,
L10,FTH_RM1722_6_D_91,1,2,
L11,FTH_RM1722_6_D_92,1,2,
L13,FTH_RM1722_6_D_93,1,2,
L14,FTH_RM1722_6_D_94,1,2,
L15,FTH_RM1722_6_D_95,1,2,
L16,FTH_RM1722_6_D_96,1,2,
L18,FTH_RM1722_6_D_97,1,2,
L19,FTH_RM1722_6_D_98,1,2,
L20,FTH_RM1722_6_D_99,1,2,
L21,FTH_RM1722_6_D_100,1,2,
L22,FTH_RM1722_6_D_101,1,2,
L23,FTH_RM1722_6_D_102,1,2,
M1,FTH_RM1722_6_D_103,1,2,
M2,FTH_RM1722_6_D_104,1,2,
M3,FTH_RM1722_6_D_105,1,2,
M4,FTH_RM1722_6_D_106,1,2,
M5,FTH_RM1722_6_D_107,1,2,
M6,FTH_RM1722_6_D_108,1,2,
M7,FTH_RM1722_6_D_109,1,2,
M8,FTH_RM1722_6_D_110,1,2,
M9,FTH_RM1722_6_D_111,1,2,
M10,FTH_RM1722_6_D_112,1,2,
M13,FTH_RM1722_6_D_113,1,2,
M14,FTH_RM1722_6_D_114,1,2,
M15,FTH_RM1722_6_D_115,1,2,
M17,FTH_RM1722_6_D_116,1,2,
M18,FTH_RM1722_6_D_117,1,2,
M19,FTH_RM1722_6_D_118,1,2,
M20,FTH_RM1722_6_D_119,1,2,
M21,FTH_RM1722_6_D_120,1,2,
M22,FTH_RM1722_7_A_1,1,2,
M23,FTH_RM1722_7_A_2,1,2,
N1,FTH_RM1722_7_A_3,1,2,
N2,FTH_RM1722_7_A_4,1,2,
N3,FTH_RM1722_7_A_5,1,2,
N4,FTH_RM1722_7_A_6,1,2,
N5,FTH_RM1722_7_A_7,1,2,
N6,FTH_RM1722_7_A_8,1,2,
N7,FTH_RM1722_7_A_9,1,2,
N8,FTH_RM1722_7_A_10,1,2,
N9,FTH_RM1722_7_A_11,1,2,
N10,FTH_RM1722_7_A_12,1,2,
N11,FTH_RM1722_7_A_13,1,2,
N13,FTH_RM1722_7_A_14,1,2,
N14,FTH_RM1722_7_A_15,1,2,
N15,FTH_RM1722_7_A_16,1,2,
