SampleID	PlateID	WellIDSource	WellIDDestination
CLR25_2_A_2	Plate1	B1	A1
CLR25_2_A_3	Plate1	C1	B1
CLR25_2_X_1	Plate1	E3	C1
DEL25_1_X_1	Plate1	F3	D1
KNL25_1_X_1	Plate1	G3	E1
KNL25_1_X_2	Plate1	H3	F1
KNL25_1_X_3	Plate1	A4	G1
TIS25_1_X_1	Plate1	B4	H1
TIS25_1_X_2	Plate1	C4	A2
EBK-1-1	Plate1	A12	B2
EBK-1-2	Plate1	B12	C2
EBK-1-3	Plate1	C12	D2
EBK-1-4	Plate1	D12	E2
