SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
CLR25_5_A_7	HETEROZYGOTE	FALL	1	0	0	0		0.016	0.916	0.003	0.006	0.06	0	0	0	0
CLR25_5_X_4	HETEROZYGOTE	FALL	1	0	0	0		0.122	0.132	0.001	0.319	0.425	0	0	0	0
CLR25_5_X_5	HETEROZYGOTE	FALL	1	0	0	0		0.312	0.618	0	0.01	0.06	0	0	0	0
CLR25_6_A_1	HETEROZYGOTE	FALL	1	0	0	0		0.062	0.866	0.055	0.017	0	0	0	0	0
CLR25_6_A_10	LATE	FALL	1	0	0	0		0.001	0.913	0.024	0.061	0.001	0	0	0	0
CLR25_6_A_11	HETEROZYGOTE	FALL	1	0	0	0		0.028	0.957	0	0.001	0.014	0	0	0	0
CLR25_6_A_12	HETEROZYGOTE	FALL	1	0	0	0		0.023	0.972	0.005	0	0	0	0	0	0
CLR25_6_A_13	HETEROZYGOTE	FALL	1	0	0	0		0.637	0.026	0.004	0.018	0.316	0	0	0	0
CLR25_6_A_18	HETEROZYGOTE	FALL	1	0	0	0		0	0.992	0.007	0	0.001	0	0	0	0
CLR25_6_A_19	HETEROZYGOTE	FALL	1	0	0	0		0	0.906	0.04	0.05	0.003	0	0	0	0
CLR25_6_A_24	HETEROZYGOTE	FALL	1	0	0	0		0	1	0	0	0	0	0	0	0
CLR25_6_A_27	HETEROZYGOTE	FALL	1	0	0	0		0.028	0.065	0.003	0.015	0.89	0	0	0	0
CLR25_6_A_28	HETEROZYGOTE	FALL	1	0	0	0		0	0.12	0.879	0	0	0	0	0	0
CLR25_6_A_29	LATE	FALL	1	0	0	0		0	0.984	0.015	0	0.001	0	0	0	0
CLR25_6_A_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.357	0.574	0.05	0.001	0.017	0	0	0	0
CLR25_6_A_30	HETEROZYGOTE	FALL	1	0	0	0		0.002	0.977	0.02	0	0	0	0	0	0
CLR25_6_A_4	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.656	0.344	0	0	0	0	0	0
CLR25_6_A_5	EARLY	SPRING	1	0	0	0	Feather River Spring	0.007	0.71	0.255	0.004	0.024	0	0	0	0
CLR25_6_A_7	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.237	0.692	0.002	0.069	0	0	0	0
CLR25_6_X_1	HETEROZYGOTE	FALL	1	0	0	0		0.007	0.958	0.035	0	0.001	0	0	0	0
CLR25_6_X_3	LATE	FALL	1	0	0	0		0.309	0.309	0.001	0.259	0.123	0	0	0	0
CLR25_6_X_4	HETEROZYGOTE	FALL	1	0	0	0		0.008	0.001	0	0.96	0.03	0	0	0	0
CLR25_6_X_5	HETEROZYGOTE	FALL	1	0	0	0		0.01	0.119	0.001	0.577	0.292	0	0	0.001	0
CLR25_7_A_11	HETEROZYGOTE	FALL	1	0	0	0		0.012	0.98	0.004	0.004	0	0	0	0	0
CLR25_7_A_12																
CLR25_7_A_14	EARLY	SPRING	1	0	0	0	Feather River Spring	0.058	0.232	0	0	0.705	0	0	0.005	0
CLR25_7_A_2	HETEROZYGOTE	FALL	1	0	0	0		0.004	0.05	0	0.939	0.007	0	0	0	0
CLR25_7_A_22	HETEROZYGOTE	FALL	1	0	0	0		0.885	0.012	0	0.008	0.095	0	0	0	0
CLR25_7_A_23	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.004	0	0.982	0.014	0	0	0	0
CLR25_7_A_24	HETEROZYGOTE	FALL	1	0	0	0		0.033	0.184	0	0.044	0.739	0	0	0	0
CLR25_7_A_25	HETEROZYGOTE	FALL	1	0	0	0		0	1	0	0	0	0	0	0	0
